Ride,Date/Time,Wait Time
Haunted Mansion,2022-01-24 15:45:23,30
Haunted Mansion,2022-01-24 15:50:22,30
Haunted Mansion,2022-01-24 15:55:22,30
Haunted Mansion,2022-01-24 16:00:22,30
Haunted Mansion,2022-01-24 16:05:22,30
Haunted Mansion,2022-01-24 16:10:22,30
Haunted Mansion,2022-01-24 16:15:23,30
Haunted Mansion,2022-01-24 16:20:22,45
Haunted Mansion,2022-01-24 16:25:22,45
Haunted Mansion,2022-01-24 16:30:22,45
Haunted Mansion,2022-01-24 16:35:23,45
Haunted Mansion,2022-01-24 16:40:22,45
Haunted Mansion,2022-01-24 16:45:22,45
Haunted Mansion,2022-01-24 16:50:24,30
Haunted Mansion,2022-01-24 16:55:22,30
Haunted Mansion,2022-01-24 17:00:22,30
Haunted Mansion,2022-01-24 17:05:23,30
Haunted Mansion,2022-01-24 17:10:22,30
Haunted Mansion,2022-01-24 17:15:23,35
Haunted Mansion,2022-01-24 17:20:22,35
Haunted Mansion,2022-01-24 17:25:22,35
Haunted Mansion,2022-01-24 17:30:22,30
Haunted Mansion,2022-01-24 17:35:23,30
Haunted Mansion,2022-01-24 17:40:23,30
Haunted Mansion,2022-01-24 17:45:22,30
Haunted Mansion,2022-01-24 17:50:22,30
Haunted Mansion,2022-01-24 17:55:22,30
Haunted Mansion,2022-01-24 18:00:22,30
Haunted Mansion,2022-01-24 18:05:23,30
Haunted Mansion,2022-01-24 18:10:22,30
Haunted Mansion,2022-01-24 18:15:23,30
Haunted Mansion,2022-01-24 18:20:23,30
Haunted Mansion,2022-01-24 18:25:23,30
Haunted Mansion,2022-01-24 18:30:23,30
Haunted Mansion,2022-01-24 18:35:22,30
Haunted Mansion,2022-01-24 18:40:22,30
Haunted Mansion,2022-01-24 18:45:23,25
Haunted Mansion,2022-01-24 18:50:22,25
Haunted Mansion,2022-01-24 18:55:23,25
Haunted Mansion,2022-01-24 19:00:22,25
Haunted Mansion,2022-01-24 19:05:22,25
Haunted Mansion,2022-01-24 19:10:23,25
Haunted Mansion,2022-01-24 19:15:22,25
